Book,Character
Harry Potter and the Philosopher's Stone,Thomas Taylor (UK)
Harry Potter and the Philosopher's Stone,Jonny Duddle (UK) (Children's Edition redesign)
Harry Potter and the Philosopher's Stone,Levi Pinfold (UK) (20th Anniversary Edition)
Harry Potter and the Philosopher's Stone,Mary GrandPré (US)
Harry Potter and the Philosopher's Stone,Kazu Kibuishi (US) (15th Anniversary Edition)
Harry Potter and the Philosopher's Stone,"Jim Kay (UK, Illustrated Edition)"
Harry Potter and the Philosopher's Stone,Olly Moss (Pottermore eBook)
Harry Potter and the Philosopher's Stone,Nicholas Filbert (Indonesia)
Harry Potter and the Philosopher's Stone,Mary GrandPré (US)
Harry Potter and the Philosopher's Stone,Levi Pinfold (UK) (20th Anniversary Edition)
Harry Potter and the Philosopher's Stone,Jim Kay (Illustrated Edition)
Harry Potter and the Philosopher's Stone,Stephen Fry (UK)
Harry Potter and the Philosopher's Stone,Jim Dale (US)
Harry Potter and the Philosopher's Stone,Bloomsbury (UK & Canada & India)
Harry Potter and the Philosopher's Stone,Scholastic (US)
Harry Potter and the Philosopher's Stone,Raincoast Books (Canada; formerly)
Harry Potter and the Philosopher's Stone,Carlsen Verlag (Germany)
Harry Potter and the Philosopher's Stone,Dost Kitabevi Yayınları (Turkey; formerly)
Harry Potter and the Philosopher's Stone,Yapı Kredi Yayınları (Turkey)
Harry Potter and the Philosopher's Stone,Penerbit PT Gramedia Pustaka Utama (Indonesia)
Harry Potter and the Philosopher's Stone,26 June 1997[1] (UK)
Harry Potter and the Philosopher's Stone,1 September 1998 (US)
Harry Potter and the Philosopher's Stone,1 April 2001 (Turkey)
Harry Potter and the Philosopher's Stone,September 2000 (Indonesia)
Harry Potter and the Philosopher's Stone,332 (UK)
Harry Potter and the Philosopher's Stone,309 (US)
Harry Potter and the Philosopher's Stone,274 (Turkey)
Harry Potter and the Philosopher's Stone,388 (Indonesia)
Harry Potter and the Philosopher's Stone,1 Dedication
Harry Potter and the Philosopher's Stone,2 Book description
Harry Potter and the Philosopher's Stone,"3 Plot

3.1 Chapter 1: The Boy Who Lived
3.2 Chapter 2: The Vanishing Glass
3.3 Chapter 3: The Letters from No One
3.4 Chapter 4: The Keeper of the Keys
3.5 Chapter 5: Diagon Alley
3.6 Chapter 6: The Journey from Platform Nine and Three-Quarters
3.7 Chapter 7: The Sorting Hat
3.8 Chapter 8: The Potions Master
3.9 Chapter 9: The Midnight Duel
3.10 Chapter 10: Hallowe'en
3.11 Chapter 11: Quidditch
3.12 Chapter 12: The Mirror of Erised
3.13 Chapter 13: Nicolas Flamel
3.14 Chapter 14: Norbert the Norwegian Ridgeback
3.15 Chapter 15: The Forbidden Forest
3.16 Chapter 16: Through the Trapdoor
3.17 Chapter 17: The Man with Two Faces"
Harry Potter and the Philosopher's Stone,3.1 Chapter 1: The Boy Who Lived
Harry Potter and the Philosopher's Stone,3.2 Chapter 2: The Vanishing Glass
Harry Potter and the Philosopher's Stone,3.3 Chapter 3: The Letters from No One
Harry Potter and the Philosopher's Stone,3.4 Chapter 4: The Keeper of the Keys
Harry Potter and the Philosopher's Stone,3.5 Chapter 5: Diagon Alley
Harry Potter and the Philosopher's Stone,3.6 Chapter 6: The Journey from Platform Nine and Three-Quarters
Harry Potter and the Philosopher's Stone,3.7 Chapter 7: The Sorting Hat
Harry Potter and the Philosopher's Stone,3.8 Chapter 8: The Potions Master
Harry Potter and the Philosopher's Stone,3.9 Chapter 9: The Midnight Duel
Harry Potter and the Philosopher's Stone,3.10 Chapter 10: Hallowe'en
Harry Potter and the Philosopher's Stone,3.11 Chapter 11: Quidditch
Harry Potter and the Philosopher's Stone,3.12 Chapter 12: The Mirror of Erised
Harry Potter and the Philosopher's Stone,3.13 Chapter 13: Nicolas Flamel
Harry Potter and the Philosopher's Stone,3.14 Chapter 14: Norbert the Norwegian Ridgeback
Harry Potter and the Philosopher's Stone,3.15 Chapter 15: The Forbidden Forest
Harry Potter and the Philosopher's Stone,3.16 Chapter 16: Through the Trapdoor
Harry Potter and the Philosopher's Stone,3.17 Chapter 17: The Man with Two Faces
Harry Potter and the Philosopher's Stone,4 List of spells first introduced
Harry Potter and the Philosopher's Stone,5 List of deaths
Harry Potter and the Philosopher's Stone,6 Behind the scenes
Harry Potter and the Philosopher's Stone,7 Mistakes
Harry Potter and the Philosopher's Stone,"8 Editions

8.1 English-language
8.2 Translations (cover based on Scholastic's)
8.3 Translations (alternative cover)
8.4 Illustrated Editions
8.5 20th Anniversary Editions"
Harry Potter and the Philosopher's Stone,8.1 English-language
Harry Potter and the Philosopher's Stone,8.2 Translations (cover based on Scholastic's)
Harry Potter and the Philosopher's Stone,8.3 Translations (alternative cover)
Harry Potter and the Philosopher's Stone,8.4 Illustrated Editions
Harry Potter and the Philosopher's Stone,8.5 20th Anniversary Editions
Harry Potter and the Philosopher's Stone,9 Film adaptation
Harry Potter and the Philosopher's Stone,10 Notes and references
Harry Potter and the Philosopher's Stone,11 See also
Harry Potter and the Philosopher's Stone,J. K. Rowling came up with the idea for the book after the train she was on (which was returning to London) was delayed for four hours.
Harry Potter and the Philosopher's Stone,Scholastic published in November 2000 a Collector's Edition that includes a pen-and-ink drawing by J.K. Rowling of Harry Potter at no.4 Privet Drive (which was then published on Pottermore) with a unique note. A 10th Anniversary Edition featuring a drawing and a note about Severus Snape by J.K. Rowling was also published by Scholastic in 2008.
Harry Potter and the Philosopher's Stone,"To mark the 20th anniversary of first publication, Bloomsbury Publishing published four House Editions of the book in 2017. The 20th Anniversary Editions each feature the individual house crest on the jacket and sprayed edges in the house colours. New extra content includes fact files, profiles of favourite characters and line illustrations exclusive to each house.[3]"
Harry Potter and the Philosopher's Stone,"A first edition of the book containing hand drawings and annotations (with a total of 43 personal additions: 20 original illustrations as well as comments scrawled in the margins) by J.K. Rowling was sold at an auction for £150,000 in 2013.[4][5] It has been on exhibit at the Edinburgh's Writers' Museum since Thursday, 8 December 2016.[6][7]"
Harry Potter and the Philosopher's Stone,This was the only book to be written during the time the events in the books were taking place.
Harry Potter and the Philosopher's Stone,"This is the only book in the series to be released before the defeat of Lord Voldemort on 2 May, 1998."
Harry Potter and the Philosopher's Stone,This book and Harry Potter and the Prisoner of Azkaban are the only two books in the series to not have a chapter title named after the title of the book.
Harry Potter and the Philosopher's Stone,"For Chapter 5, sitting under a tree in a local park in Edinburgh, J. K. Rowling came up with the passage which was the introduction of Ollivanders.[8]"
Harry Potter and the Philosopher's Stone,↑ 1.0 1.1 Bloomsbury. Retrieved 26 June 2015.
Harry Potter and the Philosopher's Stone,↑ 2.0 2.1 2.2 2.3 2.4 2.5 2.6 2.7 Magical spells we first learned in the Philosopher's Stone
Harry Potter and the Philosopher's Stone,↑ http://www.harrypotter.bloomsbury.com/uk/bookshop/20th-anniversary-editions/
Harry Potter and the Philosopher's Stone,"↑ ""J.K. Rowling, Harry Potter and the Philosopher's Stone - with annotations"" on theguardian.com"
Harry Potter and the Philosopher's Stone,"↑ ""First edition of Harry Potter with annotations by JK Rowling fetches wizard £150,000 price"" on independent.co.uk"
Harry Potter and the Philosopher's Stone,↑ http://www.edinburghnews.scotsman.com/news/entertainment/rare-first-edition-harry-potter-book-on-display-in-edinburgh-1-4309146
Harry Potter and the Philosopher's Stone,"↑ ""J.K. Rowling's Annotated Harry Potter Reveals How Quidditch Became a Thing"" on time.com"
Harry Potter and the Philosopher's Stone,↑ J.K. Rowling 2012 Interview – Harry Potter: Beyond the Page
Harry Potter and the Philosopher's Stone,↑ Harry Potter and the Philosopher's Stone illustrated edition on Amazon
Harry Potter and the Philosopher's Stone,"↑ News: ""Hogwarts house themed covers unveiled for Philosopher's Stone's 20th anniversary"" at Pottermore"
Harry Potter and the Philosopher's Stone,↑ Harry Potter and the Philosopher's Stone – Gryffindor Edition
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone (film)
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone (soundtrack)
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone (video game)
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone (character index)
Harry Potter and the Philosopher's Stone,First year
Harry Potter and the Philosopher's Stone,Harry Potter At Home
Harry Potter and the Chamber of Secrets,Cliff Wright (UK)
Harry Potter and the Chamber of Secrets,Jonny Duddle (UK) (Children's Edition redesign)
Harry Potter and the Chamber of Secrets,Levi Pinfold (UK) (20th Anniversary Edition)
Harry Potter and the Chamber of Secrets,Mary GrandPré (US)
Harry Potter and the Chamber of Secrets,Kazu Kibuishi (US) (15th Anniversary Edition)
Harry Potter and the Chamber of Secrets,Jim Kay (Illustrated Edition)
Harry Potter and the Chamber of Secrets,Olly Moss (Pottermore eBook)
Harry Potter and the Chamber of Secrets,Mary GrandPré (US)
Harry Potter and the Chamber of Secrets,Levi Pinfold (UK) (20th Anniversary Edition)
Harry Potter and the Chamber of Secrets,Jim Kay (Illustrated Edition)
Harry Potter and the Chamber of Secrets,Stephen Fry (UK)
Harry Potter and the Chamber of Secrets,Jim Dale (US)
